handle,live_or_simulcast,location,month,year
268798.3,LIVE,"ARLINGTON AT CHICAGO, JOE'S BAR - OTB",January,2012
2529237.4,SIMS,"ARLINGTON AT CHICAGO, JOE'S BAR - OTB",January,2012
110511.1,LIVE,ARLINGTON AT HODGKINS - OTB,January,2012
1257378.1,SIMS,ARLINGTON AT HODGKINS - OTB,January,2012
70069.3,LIVE,ARLINGTON AT VILLA PARK - OTB,January,2012
762329.2,SIMS,ARLINGTON AT VILLA PARK - OTB,January,2012
83177.1,LIVE,ARLINGTON AT WAUKEGAN - OTB,January,2012
1406680.8,SIMS,ARLINGTON AT WAUKEGAN - OTB,January,2012
156604.7,LIVE,ARLINGTON PARK RACECOURSE - IT.,January,2012
617239.5,SIMS,ARLINGTON PARK RACECOURSE - IT.,January,2012
2876443.5,SIMS,"ARLINGTON PARK RACECOURSE, LLC.",January,2012
27840.0,LIVE,BALMORAL AT CHAMPAIGN - OTB,January,2012
281339.0,SIMS,BALMORAL AT CHAMPAIGN - OTB,January,2012
250390.4,LIVE,BALMORAL AT CRESTWOOD - OTB,January,2012
1770765.5,SIMS,BALMORAL AT CRESTWOOD - OTB,January,2012
18672.5,LIVE,BALMORAL AT NORMAL - OTB,January,2012
265211.2,SIMS,BALMORAL AT NORMAL - OTB,January,2012
517400.4,LIVE,"BALMORAL RACING CLUB, INC.",January,2012
229693.2,SIMS,"BALMORAL RACING CLUB, INC.",January,2012
27351.8,LIVE,"BALMORAL RACING CLUB, INC. - IT.",January,2012
623264.5,SIMS,"BALMORAL RACING CLUB, INC. - IT.",January,2012
15568.8,LIVE,FAIRMOUNT AT ALTON - OTB,January,2012
305344.1,SIMS,FAIRMOUNT AT ALTON - OTB,January,2012
48186.2,LIVE,FAIRMOUNT AT SAUGET - OTB,January,2012
650175.8,SIMS,FAIRMOUNT AT SAUGET - OTB,January,2012
21145.1,LIVE,FAIRMOUNT AT SPRINGFIELD - OTB,January,2012
353469.7,SIMS,FAIRMOUNT AT SPRINGFIELD - OTB,January,2012
76529.9,LIVE,"FAIRMOUNT PARK, INC. - IT.",January,2012
1594621.5,SIMS,"FAIRMOUNT PARK, INC. - IT.",January,2012
48617.8,LIVE,HAWTHORNE AT AURORA - OTB,January,2012
531564.6,SIMS,HAWTHORNE AT AURORA - OTB,January,2012
17234.8,LIVE,HAWTHORNE AT BUFFALO GROVE - OTB,January,2012
385682.5,SIMS,HAWTHORNE AT BUFFALO GROVE - OTB,January,2012
216245.8,LIVE,"HAWTHORNE AT CHICAGO, CORLISS - OTB",January,2012
1506662.2,SIMS,"HAWTHORNE AT CHICAGO, CORLISS - OTB",January,2012
106524.1,LIVE,HAWTHORNE AT JOLIET - OTB,January,2012
725316.8,SIMS,HAWTHORNE AT JOLIET - OTB,January,2012
109373.8,LIVE,HAWTHORNE AT MOKENA - OTB,January,2012
814869.3,SIMS,HAWTHORNE AT MOKENA - OTB,January,2012
16115.6,LIVE,HAWTHORNE AT YORKVILLE - OTB,January,2012
138525.7,SIMS,HAWTHORNE AT YORKVILLE - OTB,January,2012
176199.1,LIVE,"HAWTHORNE RACE COURSE, INC. - IT.",January,2012
2684163.5,SIMS,"HAWTHORNE RACE COURSE, INC. - IT.",January,2012
41346.8,LIVE,MAYWOOD AT ELK GROVE VILLAGE - OTB,January,2012
523791.5,SIMS,MAYWOOD AT ELK GROVE VILLAGE - OTB,January,2012
142556.6,LIVE,MAYWOOD AT NILES - OTB,January,2012
1833272.5,SIMS,MAYWOOD AT NILES - OTB,January,2012
34892.2,LIVE,MAYWOOD AT NORTH AURORA - OTB,January,2012
412744.9,SIMS,MAYWOOD AT NORTH AURORA - OTB,January,2012
154992.0,LIVE,MAYWOOD AT OAKBROOK - OTB,January,2012
1691315.9,SIMS,MAYWOOD AT OAKBROOK - OTB,January,2012
222549.0,LIVE,MAYWOOD PARK TROTTING ASSOCIATION - IT.,January,2012
2333772.4,SIMS,MAYWOOD PARK TROTTING ASSOCIATION - IT.,January,2012
227286.9,LIVE,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",January,2012
292886.5,SIMS,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",January,2012
27131.1,LIVE,QUAD CITY AT LOCKPORT - OTB,January,2012
433359.5,SIMS,QUAD CITY AT LOCKPORT - OTB,January,2012
26749.8,LIVE,QUAD CITY AT MCHENRY - OTB,January,2012
631561.5,SIMS,QUAD CITY AT MCHENRY - OTB,January,2012
