_1,_2,arlington_at_chicago_weed_street_otb,january
2011,3329857,"ARLINGTON AT CHICAGO, WEED STREET -OTB",JANUARY
2011,1467892,ARLINGTON AT HODGKINS - OTB,JANUARY
2011,1421410,ARLINGTON AT WAUKEGAN - OTB,JANUARY
2011,306946,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,JANUARY
2011,942414,ARLINGTON PARK RACECOURSE - IT.,JANUARY
2011,3428912,"ARLINGTON PARK RACECOURSE, LLC.",JANUARY
2011,315065,BALMORAL AT CHAMPAIGN - OTB,JANUARY
2011,1914378,BALMORAL AT CRESTWOOD - OTB,JANUARY
2011,349083,BALMORAL AT NORMAL - OTB,JANUARY
2011,817015,"BALMORAL RACING CLUB, INC.",JANUARY
2011,660649,"BALMORAL RACING CLUB, INC. - IT.",JANUARY
2011,367739,FAIRMOUNT AT ALTON - OTB,JANUARY
2011,892269,FAIRMOUNT AT SAUGET - OTB,JANUARY
2011,446668,FAIRMOUNT AT SPRINGFIELD - OTB,JANUARY
2011,1751790,"FAIRMOUNT PARK, INC. - IT.",JANUARY
2011,565256,HAWTHORNE AT AURORA - OTB,JANUARY
2011,670965,HAWTHORNE AT BUFFALO GROVE - OTB,JANUARY
2011,2002340,"HAWTHORNE AT CHICAGO, CORLISS - OTB",JANUARY
2011,972315,HAWTHORNE AT JOLIET - OTB,JANUARY
2011,1053574,HAWTHORNE AT MOKENA - OTB,JANUARY
2011,90100,HAWTHORNE AT YORKVILLE - OTB,JANUARY
2011,3031934,"HAWTHORNE RACE COURSE, INC. - IT.",JANUARY
2011,676201,MAYWOOD AT ELK GROVE VILLAGE - OTB,JANUARY
2011,2010393,MAYWOOD AT NILES - OTB,JANUARY
2011,499585,MAYWOOD AT NORTH AURORA - OTB,JANUARY
2011,2239436,MAYWOOD AT OAKBROOK - OTB,JANUARY
2011,2594229,MAYWOOD PARK TROTTING ASSOCIATION -IT.,JANUARY
2011,624548,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",JANUARY
2011,492975,QUAD CITY AT LOCKPORT - OTB,JANUARY
2011,622443,QUAD CITY AT MCHENRY - OTB,JANUARY
2011,720318,QUAD CITY AT ROCKFORD - OTB,JANUARY
2011,381063,QUAD CITY AT SOUTH BELOIT - OTB,JANUARY
2011,660136,QUAD CITY AT SOUTH ELGIN - OTB,JANUARY
2011,792955,"QUAD CITY DOWNS, INC. - IT.",JANUARY
2011,1554918,YOUBET ADW,JANUARY
2011,2835394,TWIN SPIRES ADW,JANUARY
